number,course,homework,howDIR,whereDIR,R,moodleProblem,RstudioLocal,RCloudorNot,pdfHtmlNotes,forum,socialCommunications,eCommunications,videocalll,social,lectureType,movies,eMeeting,you,preferredNumber,transport,sport,highschool,birthYear,shoesNumber,videotime,siblings,preferredColor,pet,hM,hP,h,soccerTeam,hairColor,eyesColor,sex,weight,hobby,birthMonth,preferredPet,preferredFood,remarks
39,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Spesso utile,Talvolta,Si,Raramente,html,"Il Forum, come mezzo di interazione mi risulta comodo così come è senza apporre ulteriori modifiche",2020 MS1801 9415 A001  GR1,whatsapp,Altro,Instagram,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Meet,2020 MS1801 9415 A001  GR1,5,Treno,Arti marziali,Istituto tecnico settore tecnologico,2001,44,5,1,Giallo,Nessuno,170,177,180,Nessuna,Biondi,Marroni,Maschio,78,ascoltare la musica,11,coniglio,spaghetti alla carbonara,NA
40,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Qualche volta utile,Mai,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",Altro,Instagram,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Meet,2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Linguistico,2001,38,7,0,Rosso,"Cane
Pesci",170,175,170,NA,Castani,Marroni,Femmina,50,"ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
danza
moda
scrittura
turismo",4,cavallo,gelato,NA
41,2020 MS1801 9415 A001  GR1,Si vedrà...,Tablet,Casa,Qualche volta utile,Raramente,NA,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
FaceTime",Instagram,Lezioni frontali in Aula,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,8,Treno,Altro,Liceo Linguistico,2001,38,2,1,Rosa,Nessuno,165,175,165,Inter,Castani,Verdi,Femmina,59,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
guardare documentari, film, telefilm, serie tv, sport",1,delfino,pizza,NA
42,2020 MS1801 9415 A001  GR1,Molto,Telefono,Casa,Qualche volta utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","FaceTime
Altro","You Tube
Instagram",Lezioni frontali in Aula,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Piedi,Altro,Liceo Classico,2001,36,5,3,Verde,Gatto,158,175,160,NA,Biondi,Azzurri,Femmina,42,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
comporre musica e coreografie
danza
scrittura
suonare strumenti musicali",9,NA,NA,"Pantera
Focaccia"
43,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Raramente utile,Raramente,No,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,FaceTime,Instagram,Lezioni frontali in Aula,"Netflix
Amazon Prime video
AppleTV+","Zoom
Meet
FaceTime",2020 MS1801 9415 A001  GR1,3,Car sharing,"Ginnastica, aerobica, fitness e cultura fisica
Sci
Running",Liceo Scientifico,2000,42,3,3,Verde,Cane,178,186,186,juventus,Biondi,Azzurri,Maschio,69,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
fotografia
guardare documentari, film, telefilm, serie tv, sport
sport
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",8,pinguino,risotto con i funghi,"aggiungerei :
 39.
camaleonte
geco
iguana
tartaruga
farfalla
rinoceronte
coyote
fennec
40.
risotto (generale)
spaghetti ai frutti di mare"
44,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,"WhatsApp
Altro","You Tube
Twitter
Instagram
Linkedin",Video registrati in differita,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Auto personale,"Arco
Running",Altro,2000,39,4,1,Verde,Gatto,174,183,169,NA,Castani,Marroni,Femmina,58,"ascoltare la musica
guardare documentari, film, telefilm, serie tv, sport
shopping
storia dell’arte
studiare lingue orientali
tecnologia, pc, scienza",3,gatto,lasagne,NA
45,2020 MS1801 9415 A001  GR1,Poco,Computer,Casa,Qualche volta utile,Talvolta,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","Skype
Google Duo","Twitter
Instagram",Lezioni frontali in Aula,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,9,Altro,"Ginnastica, aerobica, fitness e cultura fisica
Altro",Liceo Classico,2000,39,1,0,Rosso,Gatto,175,169,172,juve,Rossi,Verdi,Femmina,55,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
cucinare
letture particolari: manga, news di natura finanziaria
moda
palestra
sport
recitazione (stand up comedy)
shopping
storia dell’arte
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
volontariato (croce rossa, 118)",6,tigre,salmone,NA
46,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,"You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,6,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Istituto tecnico settore tecnologico,2001,40,10,1,Rosso,Gatto,170,180,168,inter,Neri,Marroni,Femmina,57,"ascoltare la musica
cinema
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
suonare strumenti musicali
turismo",4,pantera,lasagne,NA
47,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Qualche volta utile,Raramente,Si,Raramente,pdf,Credo che la gestione del forum sia ottimale,2020 MS1801 9415 A001  GR1,e-mail,FaceTime,Instagram,Video registrati in differita,Netflix,FaceTime,2020 MS1801 9415 A001  GR1,3,Car sharing,"Ginnastica, aerobica, fitness e cultura fisica
Running",Liceo Scientifico,2001,38,1,1,Blu,Nessuno,159,178,163,Juventus,Castani,Verdi,Femmina,50,"ascoltare la musica
guardare documentari, film, telefilm, serie tv, sport
palestra
suonare strumenti musicali",3,delfino,lasagne,NA
48,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Talvolta,Si,Raramente,html,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","You Tube
Instagram
Facebook",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,"Meet
FaceTime",2020 MS1801 9415 A001  GR1,10,Treno,NA,Istituto Professionale,1997,39,5,2,Nero,Nessuno,165,175,169,NA,Castani,Marroni,Femmina,55,"ascoltare la musica
shopping
tecnologia, pc, scienza",8,cavallo,McDonald,NA
49,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
FaceTime","You Tube
Instagram",Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),"Netflix
Amazon Prime video","Zoom
FaceTime",2020 MS1801 9415 A001  GR1,3,Auto personale,Sport acquatici,Istituto tecnico settore tecnologico,1999,40,3,1,Giallo,Gatto,170,180,165,Juventus,Biondi,Verdi,Femmina,57,"ascoltare la musica
motori
videogiochi",3,koala,McDonald,NA
50,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Mai,pdf,"non cambierei nulla, trovo tutto molto efficace così com'è.",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
FaceTime",You Tube,Video delle lezioni in Aula in diretta streaming,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,5,Auto personale,Arti marziali,Istituto Professionale,2000,41,1,2,Altro,"Gatto
Cane
Pesci
Roditori
Altro",165,192,175,milan,Castani,Marroni,Femmina,54,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
comporre musica e coreografie
dipingere, disegnare
fotografia
giardinaggio, orto
guardare documentari, film, telefilm, serie tv, sport
moda
motori
palestra
sport
shopping
suonare strumenti musicali
tecnologia, pc, scienza",NA,cane,pasta con la nduja,NA
51,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,Si,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,WhatsApp,Instagram,Video registrati in differita,Netflix,Meet,2020 MS1801 9415 A001  GR1,2,Piedi,"Ginnastica, aerobica, fitness e cultura fisica",Altro,1999,38,3,1,Blu,Nessuno,158,160,156,nessuna,Castani,Marroni,Femmina,58,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport
moda
shopping
tecnologia, pc, scienza
turismo",5,gatto,pizza,NA
52,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram",FaceTime,"You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video
TimVision","Meet
FaceTime",2020 MS1801 9415 A001  GR1,2,Piedi,Pallavolo/beach volley,Liceo Scientifico,2001,39,3,1,Rosso,"Gatto
Cane",170,180,167,milan,Castani,Marroni,Femmina,57,"arti orientali: yoga, wing chun
ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
dipingere, disegnare
fotografia
moda
palestra
sport
shopping
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
videogiochi",10,koala,gelato,NA
53,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Difficile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi
Telegram",WhatsApp,"You Tube
Twitter",Video delle lezioni in Aula in diretta streaming,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Piedi,Tennis/tennis tavolo,Liceo Classico,2000,38,15,0,Arancione,Conigli,160,185,175,inter,Altro,Verdi,Femmina,58,"arti orientali: yoga, wing chun
ascoltare la musica
dipingere, disegnare
scrittura
storia dell’arte",12,gufo,avocado,NA
54,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,NA,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
FaceTime","You Tube
Twitter
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,2,Auto personale,Altro,Liceo Linguistico,2002,38,6,2,Rosa,Nessuno,170,180,165,NA,Castani,Marroni,Femmina,58,"ascoltare la musica
cucinare
guardare documentari, film, telefilm, serie tv, sport
shopping",2,cane,sushi,NA
55,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,NA,Si,Spesso,pdf,"Non cambierei nulla, mi sembra molto funzionale",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi
twitter
snapchat","WhatsApp
Altro","You Tube
Twitter
Instagram
Facebook
Altro",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Bicicletta,Equitazione,Liceo Scientifico,2001,37,6,2,Azzurro,"Gatto
Cane
Pesci",160,168,162,//,Castani,Azzurri,Femmina,58,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport",12,cavallo,pizza,no
56,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Raramente utile,Mai,Si,Mai,html,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype",Instagram,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Amazon Prime video,Meet,2020 MS1801 9415 A001  GR1,4,Piedi,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici",Liceo Scientifico,2002,44,2,1,Altro,"Gatto
Cane
Rettili",175,190,180,nessuna,Castani,Marroni,Maschio,69,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
suonare strumenti musicali
tecnologia, pc, scienza",1,giaguaro,risotto allo zafferano,NA
57,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Difficile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"Skype
FaceTime","You Tube
Instagram",Video registrati in differita,"Netflix
Amazon Prime video
TimVision","Meet
Skype
FaceTime",2020 MS1801 9415 A001  GR1,8,Auto personale,Pallavolo/beach volley,Liceo Scientifico,1999,40,4,1,Rosso,Nessuno,164,180,173,juve,Castani,Marroni,Femmina,60,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
sport
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo",3,lupo,tagliata,NA
58,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Difficile,Raramente,Si,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,twitter,Messsanger,Instagram,Video delle lezioni in Aula in diretta su Meet o Zoom (con possibilità di intervenire),Netflix,Meet,2020 MS1801 9415 A001  GR1,3,Autobus,Altro,Liceo Scientifico,2001,32,5,4,Azzurro,Altro,168,173,161,NA,Castani,Verdi,Femmina,61,ascoltare la musica,8,gatto,McDonald,NA
59,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Altro","WhatsApp
Altro","You Tube
Twitter
Instagram
Facebook
Altro",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Piedi,NA,Altro,2000,43,6,2,Verde,Nessuno,176,172,185,NA,Castani,Verdi,Maschio,92,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
dipingere, disegnare
fotografia
giardinaggio, orto
guardare documentari, film, telefilm, serie tv, sport
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo",5,balena,verze e costine della nonna,NA
60,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Raramente utile,Talvolta,No,Raramente,pdf,"Utilizzare un Ordine (per data, per lezione)logico nel inserimento dei file del programma",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime",Instagram,Video delle lezioni in Aula in diretta streaming,"Netflix
Amazon Prime video
TimVision","Zoom
Meet",2020 MS1801 9415 A001  GR1,5,Treno,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,38,1,0,NA,"Gatto
Cane",173,180,176,Milan,Biondi,Marroni,Femmina,65,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
sport
shopping
storia dell’arte
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",11,gatto,sushi,NA
61,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,No,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Messsanger","You Tube
Instagram
Facebook",NA,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,4,Treno,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Linguistico,2001,37,4,1,NA,Uccelli,157,172,157,NA,Castani,Marroni,Femmina,43,"arti orientali: yoga, wing chun
ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
guardare documentari, film, telefilm, serie tv, sport
suonare strumenti musicali",8,pinguino,risotto con i funghi,NA
62,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Raramente utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram","WhatsApp
FaceTime","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Tennis/tennis tavolo",Liceo Scientifico,2001,41,4,0,Nero,Nessuno,169,163,170,barcellona,Castani,Altro,Maschio,63,"ascoltare la musica
guardare documentari, film, telefilm, serie tv, sport
motori
palestra
shopping
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
videogiochi",5,scimmia,pesce,NA
63,2020 MS1801 9415 A001  GR1,Si vedrà...,Telefono,Casa,Spesso utile,Raramente,No,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp",WhatsApp,"You Tube
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
TimVision","Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Altro,"Calcio e calcetto
Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici
Arti marziali
Running",Liceo Scientifico,1999,43,2,1,Arancione,"Gatto
Cane
Pesci",163,175,180,Juventus,Castani,Azzurri,Maschio,80,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
guardare documentari, film, telefilm, serie tv, sport
motori
palestra
sport
tecnologia, pc, scienza
videogiochi",2,volpe,pasta ai frutti di mare,I miei hobby preferiti non presenti in lista: Andare a pesca e raccolta funghi
64,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Mai,Si,Raramente,pdf,Secondo me il forum è un'ottima idea!,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Telegram","WhatsApp
Skype
Google Duo","You Tube
Instagram
Altro",Video registrati in differita,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Treno,Sport acquatici,Altro,2000,36,3,0,Viola,Gatto,162,170,154,nessuna,Altro,Verdi,Femmina,50,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
letture particolari: manga, news di natura finanziaria
tecnologia, pc, scienza
videogiochi",12,elefante,pollo al curry,NA
65,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,No,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
FaceTime","Instagram
Altro",Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,7,Piedi,Equitazione,Liceo Scientifico,2000,38,3,2,Nero,Nessuno,168,173,170,inter,Rossi,Azzurri,Femmina,62,"camminare, escursionismo montano, passeggiare, andare a cavallo
fotografia
guardare documentari, film, telefilm, serie tv, sport
moda
shopping
tecnologia, pc, scienza",6,cane,pizza,NA
66,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Università,Qualche volta utile,Mai,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
FaceTime","Twitter
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video
TimVision","Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica
Tennis/tennis tavolo",Liceo Scientifico,2000,41,9,0,Rosa,Gatto,163,180,184,Juventus,Castani,Verdi,Femmina,72,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cantare
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
palestra
shopping",4,canguro,cioccolato,NA
67,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
Google Duo","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,4,Treno,"Ginnastica, aerobica, fitness e cultura fisica
Alpinismo
Sci",Liceo Scientifico,2001,36,7,1,Verde,"Gatto
Cane",157,180,158,nessuna,Castani,Verdi,Femmina,54,"ascoltare la musica
camminare, escursionismo montano, passeggiare, andare a cavallo
cucinare
palestra
sport
turismo",9,cane,salmone,"come cibo preferito metterei ""poke bowl"""
68,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Mai,Si,Sempre,pdf,NA,2020 MS1801 9415 A001  GR1,e-mail,Altro,Instagram,Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,9,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Classico,2001,42,4,1,Blu,NA,162,175,173,NA,Castani,Verdi,Maschio,70,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
dipingere, disegnare
fotografia
guardare documentari, film, telefilm, serie tv, sport
shopping
storia dell’arte
tecnologia, pc, scienza
videogiochi
volontariato (croce rossa, 118)",1,gatto,pizza,NA
69,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Raramente utile,Talvolta,No,Spesso,pdf,"Aumenterei gli esercizi da fare, magari anche non collegati al punteggio per l’esame finale, ma solo per esercizione",2020 MS1801 9415 A001  GR1,e-mail,FaceTime,"You Tube
Instagram",Video registrati in differita,Netflix,Meet,2020 MS1801 9415 A001  GR1,NA,NA,NA,NA,NA,NA,4,1,Nero,"Gatto
Cane
Uccelli",165,165,165,Nessuna,Castani,Marroni,Femmina,53,"ascoltare la musica
cucinare
guardare documentari, film, telefilm, serie tv, sport
turismo",12,cavallo,pizza,NA
70,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,No,Raramente,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
Skype
FaceTime","You Tube
Instagram",Lezioni frontali in Aula,Amazon Prime video,Meet,2020 MS1801 9415 A001  GR1,8,Treno,Arti marziali,Liceo Scientifico,2001,46,3,1,Nero,Nessuno,165,175,182,MILANNNN,Castani,Marroni,Maschio,76,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
guardare documentari, film, telefilm, serie tv, sport
palestra
sport
videogiochi",2,pinguino,pizza,NA
71,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Inutile,Raramente,No,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"whatsapp
Telegram","WhatsApp
FaceTime","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video",Meet,2020 MS1801 9415 A001  GR1,5,Treno,"Ginnastica, aerobica, fitness e cultura fisica",Istituto tecnico settore economico,2001,38.5,11,1,Rosa,Nessuno,158,180,162,milan,Castani,Marroni,Femmina,57,"ascoltare la musica
volontariato (croce rossa, 118)",12,cane,bistecca,NA
72,2020 MS1801 9415 A001  GR1,Molto,Tablet,Casa,Difficile,Talvolta,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
FaceTime
Google Duo
Altro","You Tube
Instagram",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet",2020 MS1801 9415 A001  GR1,7,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,1999,36,6,0,Blu,Gatto,170,180,163,Nessuna,Biondi,Marroni,Femmina,55,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cantare
dipingere, disegnare
guardare documentari, film, telefilm, serie tv, sport
scrittura",5,gatto,cheesecake,NA
73,2020 MS1801 9415 A001  GR1,Si vedrà...,Computer,Casa,Qualche volta utile,Raramente,Si,Mai,pdf,NA,2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
messaggi","WhatsApp
Skype
FaceTime","You Tube
Twitter
Instagram
Facebook",Lezioni frontali in Aula,"Netflix
Amazon Prime video","Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,8,Auto personale,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Scientifico,2001,40,10,1,Blu,Cane,155,180,167,Milan,Castani,Marroni,Femmina,74,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
ballare
cantare
cinema
cucinare
danza
fotografia
guardare documentari, film, telefilm, serie tv, sport
moda
palestra
sport
recitazione (stand up comedy)
shopping
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)
turismo",6,cavallo,lasagne,NA
74,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Inutile,Raramente,Si,Spesso,pdf,NA,2020 MS1801 9415 A001  GR1,whatsapp,"WhatsApp
FaceTime","You Tube
Instagram
Facebook",Lezioni frontali in Aula,Netflix,Meet,2020 MS1801 9415 A001  GR1,2,Treno,"Ginnastica, aerobica, fitness e cultura fisica",Liceo Classico,2001,38,3,2,Viola,Nessuno,172,170,172,nessuna,Castani,Verdi,Femmina,55,"danza
storia dell’arte
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",5,delfino,pasta al sugo,NA
75,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Qualche volta utile,Raramente,Si,Spesso,html,"Penso che il sistema attuale sia bellissimo, ma se mettiamo domande più vicine all'esame sulla dir.",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp
Altro","WhatsApp
Google Duo",You Tube,Video delle lezioni in Aula in diretta streaming,Netflix,"Zoom
Meet",2020 MS1801 9415 A001  GR1,5,Treno,"Ginnastica, aerobica, fitness e cultura fisica
Sport acquatici",Altro,2000,36,13,2,Rosso,Nessuno,160,170,156,Barcellona,Neri,Marroni,Femmina,46,"ascoltare la musica
ballare
cantare
dipingere, disegnare
moda
palestra
sport
studiare lingue orientali",5,lupo,salmone,NA
76,2020 MS1801 9415 A001  GR1,Molto,Computer,Casa,Spesso utile,Raramente,Si,Sempre,html,"Il Forum è ben organizzato e molto utile in quanto è accessibile a tutti quindi ci si possono scambiare opinioni sia tra noi studenti che con il Professore. Personalmente mi trovo molto bene a seguire le lezioni registrate, sono pratiche in quanto si possono riguardare e si possono mettere in pausa. Talvolta sono rilassanti grazie alla musica in sottofondo :) Detto ciò, per ora non ho riscontrato grosse problematiche degne di nota.",2020 MS1801 9415 A001  GR1,"e-mail
whatsapp","WhatsApp
Skype
FaceTime","You Tube
Instagram
Facebook
Altro",Video registrati in differita,Netflix,"Zoom
Meet
Skype",2020 MS1801 9415 A001  GR1,9,Piedi,"Ginnastica, aerobica, fitness e cultura fisica
Arti marziali",Istituto tecnico settore tecnologico,2001,39,5,1,Nero,Cane,160,180,163,Nessuna,Castani,Marroni,Femmina,63,"ascoltare la musica
assistere ad eventi dal vivo (attività sportive, concerti)
camminare, escursionismo montano, passeggiare, andare a cavallo
cinema
cucinare
guardare documentari, film, telefilm, serie tv, sport
palestra
shopping
tecnologia, pc, scienza
varie (make up, mangiare dolci,  uncinetto, brainstorming, ...)",9,pinguino,tiramisù,NA
